test_id,category,model,prompt_type,input_tokens,output_tokens,total_tokens,latency_seconds,output_text,assertions_passed,assertions_failed,semantic_similarity,parse_error,timestamp
A1,text_summary,mock-model-1,baseline,34,10,44,0.10018229484558105,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:summary"": true, ""field_exists:impact"": true, ""field_exists:next_steps"": true, ""semantic_similarity:summary>=0.75"": true}",[],,,2026-05-08T22:22:36.020181
A1,text_summary,mock-model-1,ilang,3,10,13,0.10010051727294922,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:summary"": true, ""field_exists:impact"": true, ""field_exists:next_steps"": true, ""semantic_similarity:summary>=0.75"": true}",[],,,2026-05-08T22:22:36.120392
A2,text_summary,mock-model-1,baseline,35,10,45,0.10013055801391602,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:3"": true, ""date_format:YYYY-MM-DD|YYYY-MM|YYYY"": false, ""chronological_order"": true}","[""is_array"", ""date_format:YYYY-MM-DD|YYYY-MM|YYYY""]",,,2026-05-08T22:22:36.220765
A2,text_summary,mock-model-1,ilang,3,10,13,0.1001441478729248,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:3"": true, ""date_format:YYYY-MM-DD|YYYY-MM|YYYY"": false, ""chronological_order"": true}","[""is_array"", ""date_format:YYYY-MM-DD|YYYY-MM|YYYY""]",,,2026-05-08T22:22:36.321012
A3,text_summary,mock-model-1,baseline,31,3,34,0.10016655921936035,Mock response text,"{""contains:Overview"": false, ""contains:Endpoints"": false, ""contains:Examples"": false, ""length_reduction>=0.50"": true}","[""contains:Overview"", ""contains:Endpoints"", ""contains:Examples""]",,,2026-05-08T22:22:36.421252
A3,text_summary,mock-model-1,ilang,3,3,6,0.10014939308166504,Mock response text,"{""contains:Overview"": false, ""contains:Endpoints"": false, ""contains:Examples"": false, ""length_reduction>=0.50"": true}","[""contains:Overview"", ""contains:Endpoints"", ""contains:Examples""]",,,2026-05-08T22:22:36.521491
A4,text_summary,mock-model-1,baseline,43,10,53,0.1001424789428711,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:common_themes"": false, ""field_exists:conflicts"": false, ""field_exists:gaps"": false, ""array_min_length:common_themes>=2"": true}","[""field_exists:common_themes"", ""field_exists:conflicts"", ""field_exists:gaps""]",,,2026-05-08T22:22:36.621733
A4,text_summary,mock-model-1,ilang,3,10,13,0.10014653205871582,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:common_themes"": false, ""field_exists:conflicts"": false, ""field_exists:gaps"": false, ""array_min_length:common_themes>=2"": true}","[""field_exists:common_themes"", ""field_exists:conflicts"", ""field_exists:gaps""]",,,2026-05-08T22:22:36.721985
A5,text_summary,mock-model-1,baseline,36,10,46,0.10014128684997559,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:2"": true, ""date_format:deadline=YYYY-MM-DD"": false, ""enum_check:priority=high|medium|low"": true}","[""is_array"", ""date_format:deadline=YYYY-MM-DD""]",,,2026-05-08T22:22:36.822235
A5,text_summary,mock-model-1,ilang,3,10,13,0.10015034675598145,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:2"": true, ""date_format:deadline=YYYY-MM-DD"": false, ""enum_check:priority=high|medium|low"": true}","[""is_array"", ""date_format:deadline=YYYY-MM-DD""]",,,2026-05-08T22:22:36.922492
